2026-09-07T14:01:05.909690979Z [err]  [anime-sama-api] Version ignorée (oav/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undead-unluck/oav/va/.
2026-09-07T14:01:06.985108602Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undefeated-bahamut-chronicle/saison1/vkr/.
2026-09-07T14:01:06.985113482Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undefeated-bahamut-chronicle/saison1/vo/.
2026-09-07T14:01:08.414697152Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/undefeated-bahamut-chronicle/saison1/va/.
2026-09-07T14:01:10.702385740Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vf/.
2026-09-07T14:01:11.260210467Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vf/.
2026-09-07T14:01:12.123185374Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vkr/.
2026-09-07T14:01:12.123191634Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vo/.
2026-09-07T14:01:12.698276968Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vo/.
2026-09-07T14:01:12.698287857Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/vkr/.
2026-09-07T14:01:13.560297944Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/va/.
2026-09-07T14:01:14.062558569Z [err]  [anime-sama-api] Version ignorée (saison1/va): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/under-ninja/saison1/va/.
2026-09-07T14:01:15.453925668Z [err]  [anime-sama-api] Version ignorée (saison1/vf): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison1/vf/.
2026-09-07T14:01:16.847115530Z [err]  [anime-sama-api] Version ignorée (saison1/vo): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison1/vo/.
2026-09-07T14:01:17.115071139Z [err]  [anime-sama-api] Version ignorée (saison1/vkr): Anime-Sama a répondu HTTP 404 pour https://anime-sama.to/catalogue/uniteup/saison1/vkr/.
